NIVGEO;CODGEO;LIBGEO;SEXE;AGEPYR10;NB
COM;01001;L'Abergement-Cl̩menciat;1;00;14.8126962539489
COM;01001;L'Abergement-Cl̩menciat;2;00;13.9052996125146
COM;01001;L'Abergement-Cl̩menciat;1;03;10.8481495084067
COM;01001;L'Abergement-Cl̩menciat;2;03;6.85603667440632
COM;01001;L'Abergement-Cl̩menciat;1;06;23.6558400459566
COM;01001;L'Abergement-Cl̩menciat;2;06;32.462397104326
COM;01001;L'Abergement-Cl̩menciat;1;11;51.2015164812225
COM;01001;L'Abergement-Cl̩menciat;2;11;37.5059060798261
COM;01001;L'Abergement-Cl̩menciat;1;18;22.1641775309538
COM;01001;L'Abergement-Cl̩menciat;2;18;13.9657726095905
COM;01001;L'Abergement-Cl̩menciat;1;25;51.5857292168108
COM;01001;L'Abergement-Cl̩menciat;2;25;54.9901590205649
COM;01001;L'Abergement-Cl̩menciat;1;40;98.0560433015195
COM;01001;L'Abergement-Cl̩menciat;2;40;97.2131277224271
COM;01001;L'Abergement-Cl̩menciat;1;55;48.8697577609136
COM;01001;L'Abergement-Cl̩menciat;2;55;50.2603770903125
COM;01001;L'Abergement-Cl̩menciat;1;65;62.031976573103
